stream,science_focus,field,hobby,free_time,subject,grade,age,career
Science,Non-Medical,Engineering & Technology,Media & Communication,Coding/Technical Projects,AI/ML/Data Science,A,20,Software Engineer
Arts,None,Business & Management,Innovation & Future Tech,Online Courses/Learning,Business Management,A+,17,Entrepreneur / Startup Founder
Commerce,None,Design & Creative Arts,Media & Communication,Designing/Creative Work,Design/Arts,C,16,Graphic Designer
Arts,Non-Medical,Business & Management,Science & Experiments,Online Courses/Learning,Economics,A,20,MBA Leadership Roles
Commerce,Non-Medical,Engineering & Technology,Technology & Computers,Coding/Technical Projects,AI/ML/Data Science,B,21,Data Scientist
Commerce,None,Finance & Accounting Path,Business & Money,Reading/Books,Economics,B,19,Chartered Accountant (CA)
Arts,None,Law & Legal Services,Media & Communication,Online Courses/Learning,Economics,B,22,Lawyer / Advocate
Commerce,None,Finance & Accounting Path,Innovation & Future Tech,Online Courses/Learning,Mathematics,A+,20,Chartered Accountant (CA)
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Mathematics,B,22,Mechanical Engineer
Science,Non-Medical,Engineering & Technology,Environment & Nature,Coding/Technical Projects,Physics,A+,21,Civil Engineer
Commerce,Non-Medical,Data Science & Analytics,Business & Money,Online Courses/Learning,Business Management,B,17,Data Scientist
Science,Non-Medical,Business & Management,Business & Money,Coding/Technical Projects,Economics,A,20,Entrepreneur / Startup Founder
Commerce,None,Business & Management,Business & Money,Online Courses/Learning,Mathematics,B+,16,MBA Leadership Roles
Science,Medical,Medical & Healthcare,Science & Experiments,Online Courses/Learning,Biology,B+,19,Doctor
Commerce,Non-Medical,Business & Management,Business & Money,Online Courses/Learning,Computer Science,A,18,Entrepreneur / Startup Founder
Commerce,None,Finance & Accounting Path,Business & Money,Reading/Books,Economics,B+,16,Chartered Accountant (CA)
Arts,None,Government Services,Law & Policy,Online Courses/Learning,Economics,A+,22,IAS Officer
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Law,A,19,Civil Engineer
Commerce,None,Finance & Accounting Path,Business & Money,Reading/Books,Economics,B+,20,Chartered Accountant (CA)
Science,Medical,Medical & Healthcare,Science & Experiments,Reading/Books,Chemistry,B,21,Pharmacist
Science,Non-Medical,Economics & Data,Sports & Fitness,Coding/Technical Projects,Economics,B+,19,Business Analyst
Commerce,None,Finance & Accounting Path,Business & Money,Reading/Books,Business Management,C,19,Chartered Accountant (CA)
Arts,None,Law & Legal Services,Media & Communication,Reading/Books,Economics,B,19,Lawyer / Advocate
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Mathematics,A+,20,Civil Engineer
Commerce,Non-Medical,Data Science & Analytics,Technology & Computers,Online Courses/Learning,Computer Science,A,18,Data Scientist
Commerce,None,Design & Creative Arts,Helping & Community,Online Courses/Learning,Design/Arts,B,19,Graphic Designer
Commerce,None,Design & Creative Arts,Helping & Community,Online Courses/Learning,Computer Science,B,20,Graphic Designer
Arts,Medical,Psychology & Counseling,Helping & Community,Online Courses/Learning,Biology,A+,22,Clinical Psychologist
Science,Non-Medical,Research & Development,Innovation & Future Tech,Reading/Books,Physics,A,19,Research Scientist
Science,Non-Medical,Economics & Data,Law & Policy,Online Courses/Learning,Computer Science,B+,19,Data Analyst
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Online Courses/Learning,Mathematics,A,21,Mechanical Engineer
Commerce,Non-Medical,Business & Management,Environment & Nature,Coding/Technical Projects,Computer Science,B,19,Entrepreneur / Startup Founder
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Coding/Technical Projects,Physics,B+,20,Civil Engineer
Arts,None,Government Services,Helping & Community,Reading/Books,AI/ML/Data Science,B,21,IAS Officer
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Coding/Technical Projects,Computer Science,B,16,Software Engineer
Commerce,None,Economics & Data,Technology & Computers,Coding/Technical Projects,Mathematics,B,22,Business Analyst
Arts,Non-Medical,Business & Management,People Interaction,Online Courses/Learning,Business Management,A+,20,MBA Leadership Roles
Arts,None,Media & Journalism,Creativity & Design,Designing/Creative Work,Economics,B,16,Journalist
Science,Non-Medical,Engineering & Technology,Science & Experiments,Online Courses/Learning,Mathematics,A+,21,Mechanical Engineer
Commerce,Non-Medical,Data Science & Analytics,Technology & Computers,Coding/Technical Projects,Computer Science,A,19,Data Scientist
Science,Non-Medical,Data Science & Analytics,Innovation & Future Tech,Online Courses/Learning,AI/ML/Data Science,A+,17,Software Engineer
Arts,None,Law & Legal Services,Media & Communication,Online Courses/Learning,Political Science,A,17,Lawyer / Advocate
Science,Non-Medical,Engineering & Technology,Technology & Computers,Online Courses/Learning,Mathematics,A,16,AI Engineer
Science,None,Government Services,People Interaction,Reading/Books,Political Science,A+,20,IAS Officer
Science,Non-Medical,Economics & Data,Technology & Computers,Online Courses/Learning,Economics,C,17,Business Analyst
Commerce,None,Law & Legal Services,Law & Policy,Online Courses/Learning,Law,A+,16,Lawyer / Advocate
Commerce,None,Media & Journalism,Creativity & Design,Reading/Books,Political Science,A,20,Journalist
Science,Medical,Medical & Healthcare,Helping & Community,Online Courses/Learning,Biology,B,16,Pharmacist
Science,Non-Medical,Research & Development,Science & Experiments,Reading/Books,Mathematics,A+,18,Research Scientist
Arts,None,Law & Policy,Logic & Problem Solving,Online Courses/Learning,Law,A,19,IAS Officer
Science,Medical,Research & Development,Innovation & Future Tech,Online Courses/Learning,Physics,A+,16,Research Scientist
Commerce,None,Media & Journalism,Creativity & Design,Reading/Books,Political Science,B+,17,Journalist
Science,Medical,Medical & Healthcare,Science & Experiments,Online Courses/Learning,Biology,B,22,Dentist
Commerce,None,Finance & Accounting Path,Business & Money,Online Courses/Learning,Psychology,A,16,Chartered Accountant (CA)
Arts,Medical,Psychology & Counseling,Helping & Community,Online Courses/Learning,Biology,B+,19,Clinical Psychologist
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Online Courses/Learning,Computer Science,B+,22,AI Engineer
Science,Non-Medical,Engineering & Technology,Innovation & Future Tech,Coding/Technical Projects,Computer Science,A,17,Software Engineer
Science,Non-Medical,Business & Management,People Interaction,Online Courses/Learning,Economics,B,18,MBA Leadership Roles
Science,None,Business & Management,Business & Money,Coding/Technical Projects,Business Management,A+,19,Entrepreneur / Startup Founder
Arts,None,Design & Creative Arts,Creativity & Design,Designing/Creative Work,Design/Arts,A,21,Graphic Designer
Arts,None,Design & Creative Arts,Creativity & Design,Designing/Creative Work,Design/Arts,A,21,Graphic Designer
Science,Non-Medical,Economics & Data,Technology & Computers,Online Courses/Learning,Computer Science,A,21,Business Analyst
Arts,None,Design & Creative Arts,Creativity & Design,Designing/Creative Work,Computer Science,B,20,UX/UI Designer
Commerce,None,Design & Creative Arts,Media & Communication,Designing/Creative Work,Design/Arts,B+,22,Graphic Designer
Commerce,None,Finance & Accounting Path,Business & Money,Online Courses/Learning,Business Management,B,17,Chartered Accountant (CA)
Science,Non-Medical,Research & Development,Logic & Problem Solving,Online Courses/Learning,Biology,A,19,Research Scientist
Science,Non-Medical,Data Science & Analytics,Technology & Computers,Coding/Technical Projects,Mathematics,A,20,AI Engineer
Commerce,Non-Medical,Data Science & Analytics,Technology & Computers,Coding/Technical Projects,Economics,B+,18,Data Analyst
Science,Non-Medical,Research & Development,Science & Experiments,Reading/Books,Chemistry,A,20,Research Scientist
Arts,None,Law & Legal Services,Media & Communication,Online Courses/Learning,Law,B+,22,Lawyer / Advocate
Science,Medical,Medical & Healthcare,Logic & Problem Solving,Reading/Books,Biology,B,18,Dentist
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Online Courses/Learning,Computer Science,A,19,AI Engineer
Science,Medical,Medical & Healthcare,People Interaction,Online Courses/Learning,Physics,A+,18,Doctor
Arts,None,Psychology & Counseling,People Interaction,Online Courses/Learning,Psychology,A,20,Clinical Psychologist
Science,Non-Medical,Engineering & Technology,Logic & Problem Solving,Online Courses/Learning,Mathematics,A,19,Civil Engineer
Science,Non-Medical,Engineering & Technology,Law & Policy,Online Courses/Learning,AI/ML/Data Science,A,20,Data Scientist
Science,Medical,Medical & Healthcare,Environment & Nature,Reading/Books,Physics,A+,16,Doctor
Commerce,None,Finance & Accounting Path,Logic & Problem Solving,Online Courses/Learning,Mathematics,B+,21,Chartered Accountant (CA)
Science,Medical,Research & Development,Science & Experiments,Online Courses/Learning,Law,A,20,Research Scientist
Commerce,Non-Medical,Business & Management,Innovation & Future Tech,Reading/Books,Mathematics,B+,16,MBA Leadership Roles
